"","MetaID","3317A","3318A","3319A","3320A","3321A","3322A","3325A","3326A"
"85","107.98817_6.298",9.21034037197618,11.1562505210315,10.5966347330961,8.51719319141624,8.85366542803745,9.21034037197618,11.1562505210315,9.90348755253613
"86","1078.64278_2.06",14.5086577385242,15.6072700271923,15.4249484703984,8.51719319141624,8.51719319141624,9.21034037197618,14.5086577385242,12.2060726455302
"87","108.04364_4.108",13.8155105579643,16.1180956509583,13.7101500423064,11.5129254649702,12.6115377536383,15.8949520996441,13.7101500423064,14.5086577385242
"88","108.04366_6.017",16.0127351353005,16.1180956509583,16.1180956509583,14.9141228466324,14.5086577385242,16.1180956509583,16.1180956509583,16.1180956509583
"89","108.05718_4.634",13.4588356140255,15.2018049190842,15.8949520996441,9.90348755253613,11.1562505210315,10.3089526606443,15.6072700271923,11.4075649493124
"90","108.05752_6.879",12.8992198260901,11.5129254649702,12.8992198260901,13.4588356140255,13.8155105579643,14.5086577385242,11.289781913656,12.8992198260901
"91","108.06875_2.219",12.8992198260901,13.1223633774043,12.2060726455302,12.6115377536383,15.4249484703984,15.2018049190842,11.4075649493124,12.6115377536383
"92","108.06877_3.27",13.3046849341983,15.4249484703984,14.9141228466324,12.2060726455302,10.3089526606443,10.3089526606443,16.1180956509583,13.8155105579643
"93","108.06877_4.634",12.2060726455302,14.5086577385242,13.8155105579643,10.3089526606443,12.6115377536383,12.8992198260901,15.6072700271923,13.3046849341983
"94","108.06887_7.372",13.3046849341983,14.9141228466324,14.9141228466324,10.8197782844103,12.2060726455302,11.4075649493124,14.5086577385242,12.8992198260901
"95","109.02905_6.877",8.98719682066197,8.69951474821019,8.98719682066197,8.00636756765025,9.21034037197618,10.3089526606443,9.90348755253613,8.51719319141624
"96","109.05277_3.249",16.1180956509583,18.0640058000136,18.0640058000136,15.6072700271923,16.8112428315183,16.1180956509583,19.1138279245123,16.8112428315183
"97","109.05278_8.056",11.5129254649702,14.5086577385242,12.8992198260901,8.51719319141624,11.5129254649702,12.2060726455302,13.8155105579643,11.5129254649702
"98","109.064_6.54",14.9141228466324,14.5086577385242,13.8155105579643,13.7101500423064,14.5086577385242,14.5086577385242,12.2060726455302,14.9141228466324
"99","109.06408_12.218",9.90348755253613,9.90348755253613,9.90348755253613,9.21034037197618,9.90348755253613,9.21034037197618,9.90348755253613,9.21034037197618
"100","110.01347_2.973",9.21034037197618,10.5966347330961,11.4075649493124,6.80239476332431,6.90775527898214,9.90348755253613,11.0020998412042,8.29404964010203
"101","110.03673_9.598",12.8992198260901,14.9141228466324,14.9141228466324,11.5129254649702,12.2060726455302,12.6115377536383,13.8155105579643,11.5129254649702
"102","110.048_4.979",13.7101500423064,13.1223633774043,10.5966347330961,12.6115377536383,12.6115377536383,13.4588356140255,12.8992198260901,13.4588356140255
